target_name,spawn_pose_xyz,environment_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
wipe_target_0011,"[-1.0256, 2.4173, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0011,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.025613,2.417291,0.857,kitchen_island,,,,,,,,-1.025613,2.417291,0.857,0.0,0.0,0.873324,-0.487139,0.0,-0.0,-2.12397,,,,,,,,,,,,,,-0.21047,2.115963,0.0985,0.0,0.0,0.988078,-0.153954,0.0,-0.0,-2.832454,,,,,,,,,wipe,,,3,,,,,,,,,,12.0604,0,
wipe_target_0012,"[-1.1401, 1.1106, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0012,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.14014,1.110584,0.857,kitchen_island,,,,,,,,-1.14014,1.110584,0.857,0.0,0.0,-0.084755,0.996402,0.0,-0.0,-0.169713,,,,,,,,,,,,,,-1.908356,1.053253,0.0985,0.0,0.0,0.204896,0.978784,0.0,-0.0,0.412714,,,,,,,,,wipe,,,3,,,,,,,,,,9.1336,0,
wipe_target_0013,"[-1.2008, 2.8005, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0013,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,tiago,failed,,sponge_left,failed,2,1,2,True,False,False,,,,,,,,,,,,-1.200827,2.800471,0.857,kitchen_island,,,,,,,,-1.200827,2.800471,0.857,0.0,0.0,0.951792,-0.306746,0.0,-0.0,-2.518049,,,,,,,,,,,,,,-1.067211,3.710102,0.0985,0.0,0.0,0.897297,-0.441426,0.0,-0.0,-2.227217,,,,,,,,,wipe,,,3,,,,,,,,,,37.2669,2,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.01653m over 25 ticks). | LEFT fallback -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in WipingAction (status=wiggle, max link displacement 0.00401m over 25 ticks)."
wipe_target_0014,"[-1.1349, 1.9554, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0014,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.134859,1.955362,0.857,kitchen_island,,,,,,,,-1.134859,1.955362,0.857,0.0,0.0,0.454226,0.890887,0.0,-0.0,0.943006,,,,,,,,,,,,,,-1.922775,1.584307,0.0985,0.0,0.0,0.591833,0.806061,0.0,-0.0,1.266661,,,,,,,,,wipe,,,3,,,,,,,,,,8.2438,0,
wipe_target_0001,"[1.3931, 0.9015, 0.855]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0001,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,1.393053,0.901504,0.855,sink_area,,,,,,,,1.393053,0.901504,0.855,0.0,0.0,0.340686,0.940177,0.0,-0.0,0.695294,,,,,,,,,,,,,,0.476308,0.546561,0.1616,0.0,0.0,0.588274,0.808662,0.0,-0.0,1.257845,,,,,,,,,wipe,,,3,,,,,,,,,,8.5783,0,
wipe_target_0002,"[1.6019, 1.0283, 0.855]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0002,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.601891,1.028335,0.855,sink_area,,,,,,,,1.601891,1.028335,0.855,0.0,0.0,0.98997,0.141277,0.0,-0.0,2.85809,,,,,,,,,,,,,,0.476308,0.546561,0.1616,0.0,0.0,0.588274,0.808662,0.0,-0.0,1.257845,,,,,,,,,wipe,,,3,,,,,,,,,,19.6625,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target.
wipe_target_0003,"[1.6094, -0.6051, 0.855]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0003,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.609429,-0.605128,0.855,sink_area,,,,,,,,1.609429,-0.605128,0.855,0.0,0.0,0.285907,0.958257,0.0,-0.0,0.579905,,,,,,,,,,,,,,0.476308,0.546561,0.1616,0.0,0.0,0.588274,0.808662,0.0,-0.0,1.257845,,,,,,,,,wipe,,,3,,,,,,,,,,18.1328,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target.
wipe_target_0004,"[1.5678, 1.171, 0.855]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0004,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.567754,1.171009,0.855,sink_area,,,,,,,,1.567754,1.171009,0.855,0.0,0.0,0.936222,-0.351408,0.0,-0.0,-2.423444,,,,,,,,,,,,,,0.476308,0.546561,0.1616,0.0,0.0,0.588274,0.808662,0.0,-0.0,1.257845,,,,,,,,,wipe,,,3,,,,,,,,,,18.5611,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target.
wipe_target_0005,"[1.4102, -0.2254, 0.855]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0005,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.410166,-0.225389,0.855,sink_area,,,,,,,,1.410166,-0.225389,0.855,0.0,0.0,0.187819,0.982204,0.0,-0.0,0.377882,,,,,,,,,,,,,,0.476308,0.546561,0.1616,0.0,0.0,0.588274,0.808662,0.0,-0.0,1.257845,,,,,,,,,wipe,,,3,,,,,,,,,,11.6788,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target after environment filtering.
wipe_target_0006,"[-0.9308, 1.4788, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0006,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.930828,1.478833,0.857,kitchen_island,,,,,,,,-0.930828,1.478833,0.857,0.0,0.0,0.371328,0.928502,0.0,-0.0,0.760877,,,,,,,,,,,,,,-0.025424,1.334973,0.1616,0.0,0.0,0.999807,0.019626,0.0,-0.0,3.102339,,,,,,,,,wipe,,,3,,,,,,,,,,16.7373,0,
wipe_target_0007,"[-1.2371, 0.7195, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0007,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.237135,0.719531,0.857,kitchen_island,,,,,,,,-1.237135,0.719531,0.857,0.0,0.0,0.862906,0.505364,0.0,-0.0,2.081985,,,,,,,,,,,,,,-1.82451,-0.03561,0.1616,0.0,0.0,0.875899,0.482495,0.0,-0.0,2.13459,,,,,,,,,wipe,,,3,,,,,,,,,,6.9323,0,
wipe_target_0008,"[-1.1089, 1.5333, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0008,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.108921,1.533294,0.857,kitchen_island,,,,,,,,-1.108921,1.533294,0.857,0.0,0.0,-0.737093,0.675792,0.0,-0.0,-1.657516,,,,,,,,,,,,,,-2.138733,1.617274,0.1616,0.0,0.0,0.019366,0.999812,0.0,-0.0,0.038734,,,,,,,,,wipe,,,3,,,,,,,,,,11.414,0,
wipe_target_0009,"[-0.9745, 1.0417, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0009,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.974523,1.041663,0.857,kitchen_island,,,,,,,,-0.974523,1.041663,0.857,0.0,0.0,0.566298,0.8242,0.0,-0.0,1.204016,,,,,,,,,,,,,,-0.148101,1.157009,0.1616,0.0,0.0,-0.700504,0.713648,0.0,-0.0,-1.552207,,,,,,,,,wipe,,,3,,,,,,,,,,12.9389,0,
wipe_target_0010,"[-1.1508, 1.7856, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0010,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.150836,1.78562,0.857,kitchen_island,,,,,,,,-1.150836,1.78562,0.857,0.0,0.0,-0.517888,0.855448,0.0,-0.0,-1.088761,,,,,,,,,,,,,,-2.127191,1.713735,0.1616,0.0,0.0,0.011828,0.99993,0.0,-0.0,0.023656,,,,,,,,,wipe,,,3,,,,,,,,,,19.5155,0,
wipe_target_0011,"[-1.0256, 2.4173, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0011,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,-1.025613,2.417291,0.857,kitchen_island,,,,,,,,-1.025613,2.417291,0.857,0.0,0.0,0.873324,-0.487139,0.0,-0.0,-2.12397,,,,,,,,,,,,,,-2.127191,1.713735,0.1616,0.0,0.0,0.011828,0.99993,0.0,-0.0,0.023656,,,,,,,,,wipe,,,3,,,,,,,,,,14.4007,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target.
wipe_target_0012,"[-1.1401, 1.1106, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0012,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.14014,1.110584,0.857,kitchen_island,,,,,,,,-1.14014,1.110584,0.857,0.0,0.0,-0.084755,0.996402,0.0,-0.0,-0.169713,,,,,,,,,,,,,,-2.120503,1.011885,0.1616,0.0,0.0,0.721636,0.692272,0.0,-0.0,1.612327,,,,,,,,,wipe,,,3,,,,,,,,,,12.7245,0,
wipe_target_0013,"[-1.2008, 2.8005, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0013,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,rollin_justin,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,-1.200827,2.800471,0.857,kitchen_island,,,,,,,,-1.200827,2.800471,0.857,0.0,0.0,0.951792,-0.306746,0.0,-0.0,-2.518049,,,,,,,,,,,,,,-2.120503,1.011885,0.1616,0.0,0.0,0.721636,0.692272,0.0,-0.0,1.612327,,,,,,,,,wipe,,,3,,,,,,,,,,14.6503,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target.
wipe_target_0014,"[-1.1349, 1.9554, 0.857]",kitchen,space_wiping,8e6d6b23-0ce9-40ac-b807-ff2e7395963a,wipe_target_0014,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,rollin_justin,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.134859,1.955362,0.857,kitchen_island,,,,,,,,-1.134859,1.955362,0.857,0.0,0.0,0.454226,0.890887,0.0,-0.0,0.943006,,,,,,,,,,,,,,-2.130402,2.068414,0.1616,0.0,0.0,-0.049764,0.998761,0.0,-0.0,-0.099569,,,,,,,,,wipe,,,3,,,,,,,,,,24.1194,0,
wipe_target_0001,"[1.3931, 0.9015, 0.855]",kitchen,space_wiping,f3c5f42f-572f-43eb-ba14-f2cda59b7c6e,wipe_target_0001,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,stretch,success,LEFT,sponge_left,primary,1,0,0,False,False,False,,,,,,,,,,,,1.393053,0.901504,0.855,sink_area,,,,,,,,1.393053,0.901504,0.855,0.0,0.0,0.340686,0.940177,0.0,-0.0,0.695294,,,,,,,,,,,,,,0.991903,0.919083,0.0,0.0,0.0,0.642299,0.766454,0.0,-0.0,1.394989,,,,,,,,,wipe,,,3,,,,,,,,,,4.8217,0,
wipe_target_0002,"[1.6019, 1.0283, 0.855]",kitchen,space_wiping,f3c5f42f-572f-43eb-ba14-f2cda59b7c6e,wipe_target_0002,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,stretch,success,LEFT,sponge_left,primary,1,0,0,False,False,False,,,,,,,,,,,,1.601891,1.028335,0.855,sink_area,,,,,,,,1.601891,1.028335,0.855,0.0,0.0,0.98997,0.141277,0.0,-0.0,2.85809,,,,,,,,,,,,,,1.003651,0.887332,0.0,0.0,0.0,0.75559,0.655045,0.0,-0.0,1.713108,,,,,,,,,wipe,,,3,,,,,,,,,,8.2991,0,
wipe_target_0003,"[1.6094, -0.6051, 0.855]",kitchen,space_wiping,f3c5f42f-572f-43eb-ba14-f2cda59b7c6e,wipe_target_0003,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,stretch,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.609429,-0.605128,0.855,sink_area,,,,,,,,1.609429,-0.605128,0.855,0.0,0.0,0.285907,0.958257,0.0,-0.0,0.579905,,,,,,,,,,,,,,1.003651,0.887332,0.0,0.0,0.0,0.75559,0.655045,0.0,-0.0,1.713108,,,,,,,,,wipe,,,3,,,,,,,,,,8.9198,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target after environment filtering.
